,precision,recall,f1-score,support
Rejected,0.9680795077321674,0.9590719499478624,0.9635546780562495,49868.0
Accepted,0.9595553265694357,0.96846,0.9639870998566651,50000.0
accuracy,0.9637721792766452,0.9637721792766452,0.9637721792766452,0.9637721792766452
macro avg,0.9638174171508016,0.9637659749739311,0.9637708889564574,99868.0
weighted avg,0.963811783755152,0.9637721792766452,0.9637711747320694,99868.0
