Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Balanced_Accuracy,Training_Time_Sec
Hist Gradient Boosting,0.9637721792766452,0.9595553265694357,0.96846,0.9639870998566651,0.9933583414213525,0.9637659749739311,41.609925508499146
Decision Tree,0.9616293507429807,0.9473816814605217,0.97766,0.9622827221008288,0.9892820979385579,0.9616081342744847,7.5398712158203125
Random Forest,0.9446769736051588,0.9413515927359333,0.9486,0.9449618966977138,0.9861424809497072,0.9446717815031684,91.10353875160217
Logistic Regression,0.8386269876236633,0.8706572153671129,0.79592,0.8316128223346011,0.9150355999839577,0.8386835100665757,11.619846105575562
