class,source_file,source_columns,project_sample_rows,project_file,sampling_method,random_seed
Accepted,accepted_2007_to_2018Q4.csv.gz,151,250000,accepted_sample_250k.csv,Reservoir random sampling,42
Rejected,rejected_2007_to_2018Q4.csv.gz,9,250000,rejected_sample_250k.csv,Reservoir random sampling,42
