,loan_amount,risk_score,dti,employment_years,approval_label
loan_amount,1.0,0.21390316975903828,0.08034605476075653,0.10947300920334842,0.11270587173529709
risk_score,0.21390316975903828,1.0,-0.0655822972961656,0.34431039046647016,0.556749565044806
dti,0.08034605476075653,-0.0655822972961656,1.0,-0.16452154675328362,-0.22193430478412182
employment_years,0.10947300920334842,0.34431039046647016,-0.16452154675328362,1.0,0.6444975706304159
approval_label,0.11270587173529709,0.556749565044806,-0.22193430478412182,0.6444975706304159,1.0
