,Before_Mitigation,After_Mitigation
Accuracy,0.9637740098855033,0.9592796512961689
Precision,0.9595143369545052,0.9534735631239473
Recall,0.9685789791289511,0.9658738581268077
F1,0.9640253500124265,0.9596336534386338
Balanced_Accuracy,0.9637631627736476,0.9592647650200101
